time,member,sales,delta
2026-06-25T17:52:52+08:00,NCT WISH,0,
2026-06-25T17:54:01+08:00,NCT WISH,0,0
2026-06-25T17:55:10+08:00,NCT WISH,0,0
2026-06-25T17:56:18+08:00,NCT WISH,0,0
2026-06-25T17:57:28+08:00,NCT WISH,0,0
2026-06-25T17:59:13+08:00,NCT WISH,0,0
2026-06-25T18:00:21+08:00,NCT WISH,0,0
2026-06-25T18:01:29+08:00,NCT WISH,0,0
2026-06-25T18:02:37+08:00,NCT WISH,0,0
2026-06-25T18:03:48+08:00,NCT WISH,0,0
2026-06-25T18:04:56+08:00,NCT WISH,0,0
2026-06-25T18:06:04+08:00,NCT WISH,0,0
